image_path,label
_day07_image_data\images\blue_00.png,blue
_day07_image_data\images\red_05.png,red
_day07_image_data\images\red_10.png,red
_day07_image_data\images\red_15.png,red
_day07_image_data\images\green_09.png,green
_day07_image_data\images\red_11.png,red
_day07_image_data\images\green_06.png,green
_day07_image_data\images\red_06.png,red
_day07_image_data\images\green_03.png,green
_day07_image_data\images\red_12.png,red
_day07_image_data\images\green_00.png,green
_day07_image_data\images\red_09.png,red
_day07_image_data\images\blue_02.png,blue
_day07_image_data\images\red_14.png,red
_day07_image_data\images\green_08.png,green
_day07_image_data\images\green_04.png,green
_day07_image_data\images\blue_04.png,blue
_day07_image_data\images\red_01.png,red
_day07_image_data\images\red_13.png,red
_day07_image_data\images\green_02.png,green
_day07_image_data\images\red_02.png,red
_day07_image_data\images\green_01.png,green
_day07_image_data\images\green_05.png,green
_day07_image_data\images\red_03.png,red
_day07_image_data\images\blue_03.png,blue
_day07_image_data\images\red_04.png,red
_day07_image_data\images\blue_01.png,blue
_day07_image_data\images\blue_05.png,blue
_day07_image_data\images\red_08.png,red
_day07_image_data\images\green_07.png,green
_day07_image_data\images\red_00.png,red
_day07_image_data\images\red_07.png,red
