image_id,image_path,label,split
train_circle_00,images\train_circle_00.png,circle,train
train_circle_01,images\train_circle_01.png,circle,train
train_circle_02,images\train_circle_02.png,circle,train
train_circle_03,images\train_circle_03.png,circle,train
train_circle_04,images\train_circle_04.png,circle,train
train_circle_05,images\train_circle_05.png,circle,train
train_circle_06,images\train_circle_06.png,circle,train
train_circle_07,images\train_circle_07.png,circle,train
train_circle_08,images\train_circle_08.png,circle,train
train_circle_09,images\train_circle_09.png,circle,train
train_circle_10,images\train_circle_10.png,circle,train
train_circle_11,images\train_circle_11.png,circle,train
val_circle_12,images\val_circle_12.png,circle,val
val_circle_13,images\val_circle_13.png,circle,val
val_circle_14,images\val_circle_14.png,circle,val
val_circle_15,images\val_circle_15.png,circle,val
train_square_00,images\train_square_00.png,square,train
train_square_01,images\train_square_01.png,square,train
train_square_02,images\train_square_02.png,square,train
train_square_03,images\train_square_03.png,square,train
train_square_04,images\train_square_04.png,square,train
train_square_05,images\train_square_05.png,square,train
train_square_06,images\train_square_06.png,square,train
train_square_07,images\train_square_07.png,square,train
train_square_08,images\train_square_08.png,square,train
train_square_09,images\train_square_09.png,square,train
train_square_10,images\train_square_10.png,square,train
train_square_11,images\train_square_11.png,square,train
val_square_12,images\val_square_12.png,square,val
val_square_13,images\val_square_13.png,square,val
val_square_14,images\val_square_14.png,square,val
val_square_15,images\val_square_15.png,square,val
train_triangle_00,images\train_triangle_00.png,triangle,train
train_triangle_01,images\train_triangle_01.png,triangle,train
train_triangle_02,images\train_triangle_02.png,triangle,train
train_triangle_03,images\train_triangle_03.png,triangle,train
train_triangle_04,images\train_triangle_04.png,triangle,train
train_triangle_05,images\train_triangle_05.png,triangle,train
train_triangle_06,images\train_triangle_06.png,triangle,train
train_triangle_07,images\train_triangle_07.png,triangle,train
train_triangle_08,images\train_triangle_08.png,triangle,train
train_triangle_09,images\train_triangle_09.png,triangle,train
train_triangle_10,images\train_triangle_10.png,triangle,train
train_triangle_11,images\train_triangle_11.png,triangle,train
val_triangle_12,images\val_triangle_12.png,triangle,val
val_triangle_13,images\val_triangle_13.png,triangle,val
val_triangle_14,images\val_triangle_14.png,triangle,val
val_triangle_15,images\val_triangle_15.png,triangle,val
