stem,split,class_id
class0_00,val,0
class0_01,train,0
class0_02,train,0
class0_03,train,0
class0_04,val,0
class0_05,train,0
class0_06,train,0
class0_07,train,0
class0_08,val,0
class0_09,train,0
class0_10,train,0
class0_11,train,0
class0_12,val,0
class0_13,train,0
class0_14,train,0
class0_15,train,0
class0_16,val,0
class0_17,train,0
class0_18,train,0
class0_19,train,0
class0_20,val,0
class0_21,train,0
class0_22,train,0
class0_23,train,0
class1_00,val,1
class1_01,train,1
class1_02,train,1
class1_03,train,1
class1_04,val,1
class1_05,train,1
class1_06,train,1
class1_07,train,1
class1_08,val,1
class1_09,train,1
class1_10,train,1
class1_11,train,1
class1_12,val,1
class1_13,train,1
class1_14,train,1
class1_15,train,1
class1_16,val,1
class1_17,train,1
class1_18,train,1
class1_19,train,1
class1_20,val,1
class1_21,train,1
class1_22,train,1
class1_23,train,1
