image_id,split,image_path,width,height,is_empty,difficulty,boxes,labels
0,train,_day01_detection_data\images\train_000.png,160,160,0,0,"[[66.0, 91.0, 117.0, 140.0]]",[3]
1,train,_day01_detection_data\images\train_001.png,160,160,0,1,"[[107.0, 91.0, 152.0, 106.0]]",[3]
2,train,_day01_detection_data\images\train_002.png,160,160,0,1,"[[70.0, 5.0, 122.0, 56.0]]",[2]
3,train,_day01_detection_data\images\train_003.png,160,160,0,1,"[[114.0, 52.0, 142.0, 86.0], [46.0, 24.0, 65.0, 83.0]]","[3, 3]"
4,train,_day01_detection_data\images\train_004.png,160,160,0,0,"[[77.0, 16.0, 124.0, 33.0], [3.0, 47.0, 52.0, 77.0]]","[3, 2]"
5,train,_day01_detection_data\images\train_005.png,160,160,0,1,"[[72.0, 57.0, 137.0, 90.0], [113.0, 36.0, 149.0, 68.0], [3.0, 95.0, 36.0, 153.0], [111.0, 85.0, 145.0, 139.0]]","[1, 3, 3, 3]"
6,train,_day01_detection_data\images\train_006.png,160,160,1,0,[],[]
7,train,_day01_detection_data\images\train_007.png,160,160,0,0,"[[33.0, 68.0, 95.0, 114.0], [39.0, 29.0, 86.0, 75.0]]","[1, 1]"
8,train,_day01_detection_data\images\train_008.png,160,160,0,0,"[[94.0, 98.0, 145.0, 133.0], [102.0, 39.0, 141.0, 84.0], [37.0, 129.0, 103.0, 157.0]]","[2, 2, 1]"
9,train,_day01_detection_data\images\train_009.png,160,160,0,0,"[[121.0, 113.0, 154.0, 141.0], [51.0, 111.0, 113.0, 129.0]]","[3, 1]"
10,train,_day01_detection_data\images\train_010.png,160,160,0,0,"[[44.0, 88.0, 65.0, 136.0], [121.0, 81.0, 138.0, 105.0], [109.0, 48.0, 133.0, 84.0], [38.0, 89.0, 63.0, 143.0]]","[2, 2, 3, 2]"
11,train,_day01_detection_data\images\train_011.png,160,160,1,1,[],[]
12,train,_day01_detection_data\images\train_012.png,160,160,1,0,[],[]
13,train,_day01_detection_data\images\train_013.png,160,160,0,1,"[[49.0, 102.0, 66.0, 135.0]]",[2]
14,train,_day01_detection_data\images\train_014.png,160,160,0,0,"[[10.0, 91.0, 76.0, 134.0], [47.0, 96.0, 103.0, 128.0]]","[1, 1]"
15,train,_day01_detection_data\images\train_015.png,160,160,0,0,"[[8.0, 7.0, 61.0, 42.0], [68.0, 84.0, 117.0, 102.0]]","[3, 3]"
16,train,_day01_detection_data\images\train_016.png,160,160,0,0,"[[111.0, 56.0, 123.0, 69.0], [10.0, 59.0, 41.0, 79.0]]","[2, 3]"
17,train,_day01_detection_data\images\train_017.png,160,160,0,1,"[[62.0, 15.0, 74.0, 49.0], [101.0, 73.0, 143.0, 122.0], [65.0, 114.0, 131.0, 145.0], [96.0, 25.0, 118.0, 83.0]]","[2, 2, 1, 3]"
