row_index,image_path,foreground_fraction,coverage_stratum,fold
0,images\image_00.png,0.11279296875,0,2
1,images\image_01.png,0.12353515625,1,2
2,images\image_02.png,0.13720703125,1,2
3,images\image_03.png,0.145751953125,2,2
4,images\image_04.png,0.11279296875,0,0
5,images\image_05.png,0.12353515625,1,1
6,images\image_06.png,0.13720703125,1,0
7,images\image_07.png,0.15478515625,2,0
8,images\image_08.png,0.11279296875,0,1
9,images\image_09.png,0.112060546875,0,1
10,images\image_10.png,0.13720703125,2,1
11,images\image_11.png,0.15478515625,2,0
12,images\image_12.png,0.11279296875,0,2
13,images\image_13.png,0.12353515625,1,1
14,images\image_14.png,0.13720703125,2,2
15,images\image_15.png,0.15478515625,2,1
16,images\image_16.png,0.11279296875,0,0
17,images\image_17.png,0.12353515625,1,0
