image_path,mask_path
images\image_00.png,masks\mask_00.png
images\image_01.png,masks\mask_01.png
images\image_02.png,masks\mask_02.png
images\image_03.png,masks\mask_03.png
images\image_04.png,masks\mask_04.png
images\image_05.png,masks\mask_05.png
images\image_06.png,masks\mask_06.png
images\image_07.png,masks\mask_07.png
images\image_08.png,masks\mask_08.png
images\image_09.png,masks\mask_09.png
images\image_10.png,masks\mask_10.png
images\image_11.png,masks\mask_11.png
images\image_12.png,masks\mask_12.png
images\image_13.png,masks\mask_13.png
images\image_14.png,masks\mask_14.png
images\image_15.png,masks\mask_15.png
images\image_16.png,masks\mask_16.png
images\image_17.png,masks\mask_17.png
